plot_id,accepted_name,fcover
120716b1,Rhytidium rugosum (Hedw.) Kindb.,1.33
120716b1,Salix arctica Pall.,0.67
120716b1,Salix reticulata L.,0.67
120716b1,Salix richardsonii Hook.,2.67
120716b1,Sanionia uncinata (Hedw.) Loeske,2.0
120716b1,Saussurea angustifolia (L.) D.C.,0.67
120716b1,Scorpidium revolvens (Sw.) Hedenäs,5.33
120716b1,Sparganium natans L.,0.67
120716b1,Thamnolia vermicularis (Sw.) Ach. ex Schaer.,2.67
120716b1,Tomentypnum nitens (Hedw.) Loeske,38.0
120716b2,Arctous rubra (Rehder & Wilson) Nakai,0.67
120716b2,Aulacomnium acuminatum (Lindb. & Arnell) Kindb.,0.67
120716b2,Calliergon (Sull.) Kindb.,1.34
120716b2,Calliergon giganteum (Schimp.) Kindb.,4.03
120716b2,Carex aquatilis Wahlenb.,2.01
120716b2,Carex saxatilis ssp. laxa (Trautv.) Kalela,0.67
120716b2,Catoscopium nigritum (Hedw.) Brid.,1.34
120716b2,Cetraria islandica (L.) Ach.,0.67
120716b2,Dicranum Hedw.,0.67
120716b2,Dryas integrifolia Vahl,7.38
120716b2,Equisetum variegatum Schleich. ex F. Weber & D. Mohr,6.04
120716b2,Eriophorum angustifolium Honck.,7.38
120716b2,Hylocomium splendens (Hedw.) Schimp.,0.67
120716b2,Nephroma Ach.,0.67
120716b2,Pseudocalliergon brevifolium (Lindb.) Hedenäs,41.61
120716b2,Salix arctica Pall.,0.67
120716b2,Salix richardsonii Hook.,2.01
120716b2,Sanionia uncinata (Hedw.) Loeske,3.36
120716b2,Scorpidium revolvens (Sw.) Hedenäs,8.72
120716b2,Tomentypnum nitens (Hedw.) Loeske,2.01
120717a1,Carex aquatilis Wahlenb.,16.0
120717a1,Comarum palustre L.,12.0
120717a1,Drepanocladus (Müll. Hal.) G. Roth,16.0
120717a1,Eriophorum angustifolium Honck.,18.0
120717a1,Pedicularis L.,2.0
120717a1,Salix pulchra Cham.,8.0
120718a1,Arctagrostis latifolia (R. Br.) Griseb.,0.65
120718a1,Arctous rubra (Rehder & Wilson) Nakai,5.88
120718a1,Aulacomnium palustre (Hedw.) Schwägr.,0.65
120718a1,Carex bigelowii Torr. ex Schwein.,13.73
120718a1,Carex membranacea Hook.,2.61
120718a1,Cassiope tetragona (L.) D. Don,11.11
120718a1,Cetraria islandica (L.) Ach.,2.61
120718a1,Dryas integrifolia Vahl,17.65
120718a1,Equisetum variegatum Schleich. ex F. Weber & D. Mohr,0.65
120718a1,Eriophorum vaginatum L.,5.23
120718a1,Flavocetraria cucullata (Bellardi) Kärnefelt & A. Thell,2.61
120718a1,Hylocomium splendens (Hedw.) Schimp.,11.11
120718a1,Lobaria pseudopulmonaria Gyeln.,1.31
120718a1,Lupinus arcticus S. Watson,4.58
120718a1,Pedicularis capitata Adams,1.31
120718a1,Peltigera aphthosa (L.) Willd.,1.31
120718a1,Ptilidium ciliare (L.) Hampe,4.58
120718a1,Pyrola grandiflora Radius,1.31
120718a1,Rhytidium rugosum (Hedw.) Kindb.,2.61
120718a1,Salix glauca L.,4.58
120718a1,Salix reticulata L.,2.61
120718a1,Tephroseris atropurpurea (Ledeb.) Holub,2.61
120718a1,Thamnolia subuliformis (Ehrh.) W.L. Culb.,1.31
120718a1,Tomentypnum nitens (Hedw.) Loeske,49.02
120718a1,Vaccinium uliginosum L.,1.31
120718a2,Arctous rubra (Rehder & Wilson) Nakai,4.76
120718a2,Betula nana L.,2.38
120718a2,Bistorta vivipara (L.) Delarbre,2.38
120718a2,Carex aquatilis Wahlenb.,2.38
120718a2,Carex membranacea Hook.,4.76
120718a2,Carex vaginata Tausch,9.52
120718a2,Cassiope tetragona (L.) D. Don,2.38
120718a2,Dryas integrifolia Vahl,7.14
120718a2,Eriophorum angustifolium Honck.,9.52
120718a2,Eriophorum vaginatum L.,2.38
120718a2,Flavocetraria cucullata (Bellardi) Kärnefelt & A. Thell,2.38
120718a2,Hylocomium splendens (Hedw.) Schimp.,9.52
120718a2,Ptilidium ciliare (L.) Hampe,4.76
120718a2,Pyrola grandiflora Radius,2.38
120718a2,Salix arctica Pall.,2.38
120718a2,Salix pulchra Cham.,7.14
120718a2,Salix reticulata L.,2.38
120718a2,Salix richardsonii Hook.,2.38
120718a2,Tomentypnum nitens (Hedw.) Loeske,11.9
120718a2,Vaccinium uliginosum L.,4.76
120718b1,Alnus alnobetula ssp. fruticosa (Rupr.) Raus.,12.0
120718b1,Arctous alpina (L.) Nied.,2.67
120718b1,Aulacomnium palustre (Hedw.) Schwägr.,2.67
120718b1,Aulacomnium turgidum (Wahlenb.) Schwägr.,4.67
120718b1,Betula nana L.,15.33
120718b1,Carex bigelowii Torr. ex Schwein.,2.67
120718b1,Cassiope tetragona (L.) D. Don,2.67
120718b1,Cladonia P. Browne,4.0
120718b1,Cladonia arbuscula ssp. mitis (Sandst.) Ruoss,2.0
120718b1,Cladonia stygia (Fr.) Ruoss,2.0
120718b1,Comarum palustre L.,0.67
120718b1,Dactylina arctica (Richardson) Nyl.,1.33
120718b1,Dicranum elongatum Schleich. ex Schwägr.,4.0
120718b1,Empetrum nigrum L.,6.67
120718b1,Eriophorum angustifolium Honck.,0.67
120718b1,Eriophorum vaginatum L.,15.33
120718b1,Flavocetraria cucullata (Bellardi) Kärnefelt & A. Thell,4.0
120718b1,Hylocomium splendens (Hedw.) Schimp.,10.0
120718b1,Juncus albescens (Lange) Fernald,1.33
120718b1,Pedicularis L.,0.67
120718b1,Pedicularis lanata Cham. & Schltdl.,0.67
120718b1,Peltigera aphthosa (L.) Willd.,2.0
120718b1,Peltigera canina (L.) Willd.,1.33
120718b1,Rhododendron tomentosum ssp. decumbens (Aiton) Elven & D.F. Murray,23.33
120718b1,Rhytidium rugosum (Hedw.) Kindb.,0.67
120718b1,Salix fuscescens Andersson,1.33
120718b1,Salix pulchra Cham.,3.33
