datasetSpeciesName,acceptedName,namingAuthority
Calamagrostis stricta ssp. stricta,"Calamagrostis neglecta ssp. neglecta (Ehrh.) G. Gaertn., B. Mey. & Scherb.",Panarctic Flora Project Checklist
Calamagrostis neglecta ssp. neglecta,"Calamagrostis neglecta ssp. neglecta (Ehrh.) G. Gaertn., B. Mey. & Scherb.",Panarctic Flora Project Checklist
Calamagrostis stricta (Timm) Koeler,"Calamagrostis neglecta ssp. neglecta (Ehrh.) G. Gaertn., B. Mey. & Scherb.",Panarctic Flora Project Checklist
Calamagrostis purpurascens,Calamagrostis purpurascens R. Br.,Panarctic Flora Project Checklist
Calamagrostis purpurascens s. purpurascens,Calamagrostis purpurascens ssp. purpurascens R. Br.,Panarctic Flora Project Checklist
Calamagrostis sesquiflora,Calamagrostis sesquiflora (Trin.) Tzvelev,Panarctic Flora Project Checklist
Calla palustris,Calla palustris L.,Panarctic Flora Project Checklist
Callitriche anceps,Callitriche anceps Fernald,Panarctic Flora Project Checklist
Callitriche hermaphroditica,Callitriche hermaphroditica L.,Panarctic Flora Project Checklist
Callitriche palustris,Callitriche palustris L.,Panarctic Flora Project Checklist
Caltha palustris,Caltha palustris L.,Panarctic Flora Project Checklist
Caltha palustris s.l.,Caltha palustris L.,Panarctic Flora Project Checklist
Caltha palustris L.,Caltha palustris L.,Panarctic Flora Project Checklist
Caltha palustris s. radicans,Caltha palustris ssp. radicans (T.F. Forst.) Hook.,Panarctic Flora Project Checklist
Campanula aurita,Campanula aurita Greene,Panarctic Flora Project Checklist
Campanula lasiocarpa s.l.,Campanula lasiocarpa Cham.,Panarctic Flora Project Checklist
Campanula lasiocarpa,Campanula lasiocarpa Cham.,Panarctic Flora Project Checklist
Campanula lasiocarpa [s. lasiocarpa,Campanula lasiocarpa ssp. lasiocarpa Cham.,Panarctic Flora Project Checklist
Campanula lasiocarpa s. lasiocarpa,Campanula lasiocarpa ssp. lasiocarpa Cham.,Panarctic Flora Project Checklist
Cardamine bellidifolia L.,Cardamine bellidifolia L.,Panarctic Flora Project Checklist
Cardamine bellidifolia [s. bellidifolia,Cardamine bellidifolia ssp. bellidifolia L.,Panarctic Flora Project Checklist
Cardamine digitata,Cardamine digitata Richardson,Panarctic Flora Project Checklist
Cardamine hyperborea,Cardamine digitata Richardson,Panarctic Flora Project Checklist
Cardamine digitata Richardson,Cardamine digitata Richardson,Panarctic Flora Project Checklist
Cardamine species,Cardamine L.,Panarctic Flora Project Checklist
Cardamine sp.,Cardamine L.,Panarctic Flora Project Checklist
Cardamine microphylla,Cardamine microphylla Adams,Panarctic Flora Project Checklist
Cardamine polemonioides,Cardamine polemonioides Rouy,Panarctic Flora Project Checklist
Cardamine praticola,Cardamine polemonioides Rouy,Panarctic Flora Project Checklist
Cardamine pratensis L.,Cardamine polemonioides Rouy,Panarctic Flora Project Checklist
Cardamine purpurea,Cardamine purpurea Cham. & Schltdl.,Panarctic Flora Project Checklist
Cardamine umbellata,Cardamine umbellata Greene,Panarctic Flora Project Checklist
Carex albonigra,Carex albonigra Mack.,Panarctic Flora Project Checklist
Carex anthoxanthea,Carex anthoxanthea J. Presl & C. Presl,Panarctic Flora Project Checklist
Carex aquatilis,Carex aquatilis Wahlenb.,Panarctic Flora Project Checklist
Carex aquatilis ssp. aquatilis,Carex aquatilis Wahlenb.,Panarctic Flora Project Checklist
Carex aquatilis Wahlenb.,Carex aquatilis Wahlenb.,Panarctic Flora Project Checklist
Carex arcta,Carex arcta Boott,Panarctic Flora Project Checklist
Carex atrosquama,Carex atrosquama Mack.,Panarctic Flora Project Checklist
Carex aurea,Carex aurea Nutt.,Panarctic Flora Project Checklist
Carex bicolor,Carex bicolor Bellardi ex All.,Panarctic Flora Project Checklist
Carex bigelowii s. ensifolia,Carex bigelowii ssp. ensifolia (Turcz. ex Gorodkov) Holub.,Panarctic Flora Project Checklist
Carex bigelowii ssp. ensifolia,Carex bigelowii ssp. ensifolia (Turcz. ex Gorodkov) Holub.,Panarctic Flora Project Checklist
Carex lugens,Carex bigelowii ssp. ensifolia (Turcz. ex Gorodkov) Holub.,Panarctic Flora Project Checklist
Carex bigelowii,Carex bigelowii Torr. ex Schwein.,Panarctic Flora Project Checklist
Carex bigelowii Torr. ex Schwein.,Carex bigelowii Torr. ex Schwein.,Panarctic Flora Project Checklist
Carex canescens [s. canescens,Carex canescens ssp. canescens L.,Panarctic Flora Project Checklist
Carex capillaris,Carex capillaris L.,Panarctic Flora Project Checklist
Carex capitata,Carex capitata L.,Panarctic Flora Project Checklist
Carex capitata L.,Carex capitata L.,Panarctic Flora Project Checklist
Carex chordorrhiza,Carex chordorrhiza Ehrh. ex L. f.,Panarctic Flora Project Checklist
Carex chordorrhiza Ehrh. ex L. f.,Carex chordorrhiza Ehrh. ex L. f.,Panarctic Flora Project Checklist
Carex concinna,Carex concinna R. Br.,Panarctic Flora Project Checklist
Carex deflexa [v. deflexa,Carex deflexa var. deflexa Hornem.,Panarctic Flora Project Checklist
Carex diandra,Carex diandra Schrank,Panarctic Flora Project Checklist
Carex echinata s. echinata,Carex echinata ssp. echinata Murray,Panarctic Flora Project Checklist
Carex filifolia [v. filifolia,Carex filifolia Nutt.,Panarctic Flora Project Checklist
Carex  fuliginosa subsp. misandra,Carex fuliginosa ssp. misandra (R. Br.) Nyman,Panarctic Flora Project Checklist
Carex fuliginosa s. misandra,Carex fuliginosa ssp. misandra (R. Br.) Nyman,Panarctic Flora Project Checklist
Carex fuliginosa ssp. misandra,Carex fuliginosa ssp. misandra (R. Br.) Nyman,Panarctic Flora Project Checklist
Carex glacialis,Carex glacialis Mack.,Panarctic Flora Project Checklist
Carex glareosa,Carex glareosa Schkuhr ex Wahlenb.,Panarctic Flora Project Checklist
Carex glareosa [s. glareosa,Carex glareosa ssp. glareosa Schkuhr ex Wahlenb.,Panarctic Flora Project Checklist
Carex gynocrates,Carex gynocrates Wormsk. ex Drejer,Panarctic Flora Project Checklist
Carex gynocrates Wormsk. ex Drejer,Carex gynocrates Wormsk. ex Drejer,Panarctic Flora Project Checklist
Carex heleonastes,Carex heleonastes L. f.,Panarctic Flora Project Checklist
Carex holostoma,Carex holostoma Drejer,Panarctic Flora Project Checklist
Carex kelloggii,Carex kelloggii W. Boott,Panarctic Flora Project Checklist
Carex krausei,Carex krausei Boeckeler,Panarctic Flora Project Checklist
Carex lachenalii,Carex lachenalii Schkuhr,Panarctic Flora Project Checklist
Carex lapponica,Carex lapponica O.F. Lang,Panarctic Flora Project Checklist
Carex leptalea [s. leptalea,Carex leptalea ssp. leptalea Wahlenb.,Panarctic Flora Project Checklist
Carex limosa,Carex limosa L.,Panarctic Flora Project Checklist
Carex livida,Carex livida (Wahlenb.) Willd.,Panarctic Flora Project Checklist
Carex loliacea,Carex loliacea L.,Panarctic Flora Project Checklist
Carex lyngbyei,Carex lyngbyei Hornem.,Panarctic Flora Project Checklist
Carex macrochaeta,Carex macrochaeta C.A. Mey.,Panarctic Flora Project Checklist
Carex marina,Carex marina Dewey,Panarctic Flora Project Checklist
Carex marina s. marina,Carex marina ssp. marina Dewey,Panarctic Flora Project Checklist
Carex maritima,Carex maritima Gunnerus,Panarctic Flora Project Checklist
Carex media,Carex media R. Br.,Panarctic Flora Project Checklist
Carex membranacea,Carex membranacea Hook.,Panarctic Flora Project Checklist
Carex microchaeta,Carex microchaeta Holm,Panarctic Flora Project Checklist
Carex microchaeta s. nesophila,Carex microchaeta ssp. nesophila (Holm) D.F. Murray,Panarctic Flora Project Checklist
Carex microglochin [s. microglochin,Carex microglochin ssp. microglochin Wahlenb.,Panarctic Flora Project Checklist
Carex microglochin,Carex microglochin Wahlenb.,Panarctic Flora Project Checklist
Carex micropoda,Carex micropoda C.A. Mey.,Panarctic Flora Project Checklist
Carex nardina,Carex nardina Fr.,Panarctic Flora Project Checklist
Carex obtusata,Carex obtusata Lilj.,Panarctic Flora Project Checklist
Carex paupercula,Carex paupercula Michx.,Panarctic Flora Project Checklist
Carex petricosa,Carex petricosa Dewey,Panarctic Flora Project Checklist
Carex petricosa v. petricosa,Carex petricosa var. petricosa Dewey,Panarctic Flora Project Checklist
Carex petricosa var. petricosa,Carex petricosa var. petricosa Dewey,Panarctic Flora Project Checklist
Carex pluriflora,Carex pluriflora Hultén,Panarctic Flora Project Checklist
Carex podocarpa,Carex podocarpa R. Br.,Panarctic Flora Project Checklist
Carex praticola,Carex praticola Rydb.,Panarctic Flora Project Checklist
Carex ramenskii,Carex ramenskii Kom.,Panarctic Flora Project Checklist
Carex rariflora,Carex rariflora (Wahlenb.) Sm.,Panarctic Flora Project Checklist
Carex rariflora (Wahlenb.) Sm.,Carex rariflora (Wahlenb.) Sm.,Panarctic Flora Project Checklist
Carex rotundata,Carex rotundata Wahlenb.,Panarctic Flora Project Checklist
Carex rupestris,Carex rupestris All.,Panarctic Flora Project Checklist
Carex saxatilis,Carex saxatilis L.,Panarctic Flora Project Checklist
Carex saxatilis s. laxa,Carex saxatilis ssp. laxa (Trautv.) Kalela,Panarctic Flora Project Checklist
Carex saxatilis ssp. laxa,Carex saxatilis ssp. laxa (Trautv.) Kalela,Panarctic Flora Project Checklist
Carex scirpoidea,Carex scirpoidea Michx.,Panarctic Flora Project Checklist
Carex scirpoidea Michx.,Carex scirpoidea Michx.,Panarctic Flora Project Checklist
Carex scirpoidea s. scirpoidea,Carex scirpoidea ssp. scirpoidea Michx.,Panarctic Flora Project Checklist
Carex stylosa,Carex stylosa C.A. Mey.,Panarctic Flora Project Checklist
Carex stylosa C.A. Mey.,Carex stylosa C.A. Mey.,Panarctic Flora Project Checklist
Carex subspathacea,Carex subspathacea Wormsk. ex Hornem.,Panarctic Flora Project Checklist
Carex supina s. spaniocarpa,Carex supina ssp. spaniocarpa (Steud.) Hultén,Panarctic Flora Project Checklist
Carex supina subsp. spaniocarpa,Carex supina ssp. spaniocarpa (Steud.) Hultén,Panarctic Flora Project Checklist
Carex supina,Carex supina Willd. ex Wahlenb.,Panarctic Flora Project Checklist
Carex tenuiflora,Carex tenuiflora Wahlenb.,Panarctic Flora Project Checklist
Carex ursina,Carex ursina Dewey,Panarctic Flora Project Checklist
Carex vaginata,Carex vaginata Tausch,Panarctic Flora Project Checklist
Carex vaginata Tausch,Carex vaginata Tausch,Panarctic Flora Project Checklist
Carex viridula,Carex viridula Michx.,Panarctic Flora Project Checklist
Carex williamsii,Carex williamsii Britton,Panarctic Flora Project Checklist
Carex williamsii Britton,Carex williamsii Britton,Panarctic Flora Project Checklist
Cassiope lycopodioides,Cassiope lycopodioides (Pall.) D. Don,Panarctic Flora Project Checklist
Cassiope tetragona,Cassiope tetragona (L.) D. Don,Panarctic Flora Project Checklist
Cassiope tetragona (L.) D. Don,Cassiope tetragona (L.) D. Don,Panarctic Flora Project Checklist
Cassiope tetragona [s. tetragona,Cassiope tetragona ssp. tetragona (L.) D. Don,Panarctic Flora Project Checklist
Cassiope tetragona s. tetragona,Cassiope tetragona ssp. tetragona (L.) D. Don,Panarctic Flora Project Checklist
Cassiope tetragona ssp. tetragona,Cassiope tetragona ssp. tetragona (L.) D. Don,Panarctic Flora Project Checklist
Castilleja caudata,Castilleja caudata (Pennell) Rebr.,Panarctic Flora Project Checklist
Castilleja elegans,Castilleja elegans Malte,Panarctic Flora Project Checklist
Castilleja hyperborea,Castilleja hyperborea Pennell,Panarctic Flora Project Checklist
Castilleja pallida,Castilleja pallida (L.) Spreng.,Panarctic Flora Project Checklist
Cerastium beeringianum,Cerastium beeringianum Cham. & Schltdl.,Panarctic Flora Project Checklist
Cerastium beeringianum Cham. & Schltdl.,Cerastium beeringianum Cham. & Schltdl.,Panarctic Flora Project Checklist
Cerastium beeringianum v. beeringianum,Cerastium beeringianum var. beeringianum Cham. & Schltdl.,Panarctic Flora Project Checklist
Cerastium beeringianum v. grandiflorum,Cerastium beeringianum var. grandiflorum (Fenzl) Hultén,Panarctic Flora Project Checklist
Cerastium beeringianum var. grandiflorum,Cerastium beeringianum var. grandiflorum (Fenzl) Hultén,Panarctic Flora Project Checklist
Cerastium regelii,Cerastium regelii Ostenf.,Panarctic Flora Project Checklist
Cerastium regelii taxon jenisejense,Cerastium regelii Ostenf.,Panarctic Flora Project Checklist
Chamaedaphne calyculata,Chamaedaphne calyculata (L.) Moench,Panarctic Flora Project Checklist
Chrysosplenium tetrandrum,Chrysosplenium tetrandrum (Lund ex Malmgr.) Th. Fr.,Panarctic Flora Project Checklist
Chrysosplenium tetrandrum (Lund ex Malmgr.) Th. Fr.,Chrysosplenium tetrandrum (Lund ex Malmgr.) Th. Fr.,Panarctic Flora Project Checklist
Chrysosplenium wrightii,Chrysosplenium wrightii Franch. & Savigny,Panarctic Flora Project Checklist
Cicuta virosa,Cicuta virosa L.,Panarctic Flora Project Checklist
Claytonia eschscholtzii,Claytonia eschscholtzii Cham.,Panarctic Flora Project Checklist
Claytonia species,Claytonia L.,Panarctic Flora Project Checklist
Claytonia sarmentosa,Claytonia sarmentosa C.A. Mey.,Panarctic Flora Project Checklist
Claytonia tuberosa,Claytonia tuberosa Pall. ex Schult.,Panarctic Flora Project Checklist
Cnidium cnidiifolium,Cnidium cnidiifolium (Turcz.) Schischk.,Panarctic Flora Project Checklist
Cochlearia arctica,Cochlearia arctica Schltdl.,Panarctic Flora Project Checklist
Cochlearia officinalis,Cochlearia groenlandica L.,Panarctic Flora Project Checklist
Cochlearia groenlandica,Cochlearia groenlandica L.,Panarctic Flora Project Checklist
Cochlearia groenlandica L.,Cochlearia groenlandica L.,Panarctic Flora Project Checklist
Coeloglossum viride s. viride,Coeloglossum viride (L.) Hartm.,Panarctic Flora Project Checklist
Comarum palustre,Comarum palustre L.,Panarctic Flora Project Checklist
Potentilla palustris,Comarum palustre L.,Panarctic Flora Project Checklist
Potentialla palustris,Comarum palustre L.,Panarctic Flora Project Checklist
Conioselinum gmelinii,Conioselinum pacificum (S. Watson) J.M. Coult. & Rose,Panarctic Flora Project Checklist
Conioselinum pacificum,Conioselinum pacificum (S. Watson) J.M. Coult. & Rose,Panarctic Flora Project Checklist
Ranunculus lapponicus,Coptidium lapponicum (L.) Gand.,Panarctic Flora Project Checklist
Coptidium lapponicum,Coptidium lapponicum (L.) Gand.,Panarctic Flora Project Checklist
Ranunculus lapponicus L.,Coptidium lapponicum (L.) Gand.,Panarctic Flora Project Checklist
Coptidium pallasii,Coptidium pallasii (Schltdl.) Tzvelev,Panarctic Flora Project Checklist
Ranunculus pallasii Schltdl.,Coptidium pallasii (Schltdl.) Tzvelev,Panarctic Flora Project Checklist
Coptis trifolia,Coptis trifolia (L.) Salisb.,Panarctic Flora Project Checklist
Corallorhiza trifida,Corallorhiza trifida Châtel.,Panarctic Flora Project Checklist
Corydalis arctica,Corydalis arctica Popov,Panarctic Flora Project Checklist
Cryptogramma sitchensis,Cryptogramma sitchensis (Rupr.) T. Moore,Panarctic Flora Project Checklist
Cryptogramma stelleri,Cryptogramma stelleri (S.G. Gmel.) Prantl,Panarctic Flora Project Checklist
Cypripedium guttatum,Cypripedium guttatum Sw.,Panarctic Flora Project Checklist
Cypripedium passerinum,Cypripedium passerinum Richardson,Panarctic Flora Project Checklist
Cystopteris fragilis,Cystopteris fragilis (L.) Bernh.,Panarctic Flora Project Checklist
Cystopteris montana,Cystopteris montana (Lam.) Bernh. ex Desv.,Panarctic Flora Project Checklist
Dactylorhiza aristata,Dactylorhiza aristata (Fisch. ex Lindl.) Soó,Panarctic Flora Project Checklist
Dasiphora fruticosa,Dasiphora fruticosa (L.) Rydb.,Panarctic Flora Project Checklist
Dasiphora fruticosa s. floribunda,Dasiphora fruticosa ssp. floribunda (Pursh) Kartesz,Panarctic Flora Project Checklist
Delphinium brachycentrum,Delphinium chamissonis Pritz. ex Walp.,Panarctic Flora Project Checklist
Delphinium chamissonis,Delphinium chamissonis Pritz. ex Walp.,Panarctic Flora Project Checklist
Delphinium glaucum,Delphinium glaucum S. Watson,Panarctic Flora Project Checklist
Deschampsia beringensis,Deschampsia beringensis Hultén,Panarctic Flora Project Checklist
Deschampsia brevifolia,Deschampsia brevifolia R. Br.,Panarctic Flora Project Checklist
Deschampsia cespitosa s.l.,Deschampsia cespitosa (L.) P. Beauv.,Panarctic Flora Project Checklist
Deschampsia cespitosa,Deschampsia cespitosa (L.) P. Beauv.,Panarctic Flora Project Checklist
Deschampsia cespitosa [s. cespitosa,Deschampsia cespitosa ssp. cespitosa (L.) P. Beauv.,Panarctic Flora Project Checklist
Deschampsia cespitosa [subsp. cespitosa,Deschampsia cespitosa ssp. cespitosa (L.) P. Beauv.,Panarctic Flora Project Checklist
Deschampsia cespitosa s. cespitosa,Deschampsia cespitosa ssp. cespitosa (L.) P. Beauv.,Panarctic Flora Project Checklist
Deschampsia sukatschewii s. orientalis,Deschampsia sukatschewii ssp. orientalis (Popl.) Roshev.,Panarctic Flora Project Checklist
Descurainia sophioides,Descurainia sophioides (Fisch. ex Hook.) O.E. Schulz,Panarctic Flora Project Checklist
Dianthus repens,Dianthus repens Willd.,Panarctic Flora Project Checklist
Diapensia lapponica,Diapensia obovata (F. Schmidt) Nakai,Panarctic Flora Project Checklist
Diapensia obovata,Diapensia obovata (F. Schmidt) Nakai,Panarctic Flora Project Checklist
Diapensia lapponica L.,Diapensia obovata (F. Schmidt) Nakai,Panarctic Flora Project Checklist
Dodecatheon frigidum,Dodecatheon frigidum Cham. & Schltdl.,Panarctic Flora Project Checklist
Dodecatheon frigidum Cham. & Schltdl.,Dodecatheon frigidum Cham. & Schltdl.,Panarctic Flora Project Checklist
Dodecatheon species,Dodecatheon L.,Panarctic Flora Project Checklist
Douglasia ochotensis,Douglasia ochotensis (Willd. ex Roem. & Schult.) Hultén,Panarctic Flora Project Checklist
Draba borealis,Draba borealis DC.,Panarctic Flora Project Checklist
Draba cana,Draba cana Rydb.,Panarctic Flora Project Checklist
Draba cinerea,Draba cinerea Adams,Panarctic Flora Project Checklist
Draba corymbosa,Draba corymbosa R. Br. ex DC.,Panarctic Flora Project Checklist
Draba fladnizensis,Draba fladnizensis Wulfen,Panarctic Flora Project Checklist
Draba glabella,Draba glabella Pursh,Panarctic Flora Project Checklist
Draba juvenilis,Draba juvenilis Kom.,Panarctic Flora Project Checklist
Draba species,Draba L.,Panarctic Flora Project Checklist
Draba sp.,Draba L.,Panarctic Flora Project Checklist
Draba lactea,Draba lactea Adams,Panarctic Flora Project Checklist
Draba lactea M.F. Adams,Draba lactea Adams,Panarctic Flora Project Checklist
Draba nivalis,Draba nivalis Lilj.,Panarctic Flora Project Checklist
Draba palanderiana,Draba palanderiana Kjellm.,Panarctic Flora Project Checklist
Draba pauciflora,Draba pauciflora R. Br.,Panarctic Flora Project Checklist
Draba subcapitata,Draba subcapitata Simmons,Panarctic Flora Project Checklist
Drosera anglica,Drosera anglica Huds.,Panarctic Flora Project Checklist
Drosera rotundifolia,Drosera rotundifolia L.,Panarctic Flora Project Checklist
Dryas ajanensis,Dryas ajanensis Juz.,Panarctic Flora Project Checklist
Dryas ajanensis ssp. beringensis,Dryas ajanensis ssp. beringensis Jurtz.,Panarctic Flora Project Checklist
Dryas drummondii,Dryas drummondii Richardson ex Hook.,Panarctic Flora Project Checklist
Dryas integrifolia s. integrifolia,Dryas integrifolia ssp. integrifolia Vahl,Panarctic Flora Project Checklist
Dryas integrifolia subsp. integrifolia,Dryas integrifolia ssp. integrifolia Vahl,Panarctic Flora Project Checklist
Dryas integrifolia ssp. integrifolia,Dryas integrifolia ssp. integrifolia Vahl,Panarctic Flora Project Checklist
Dryas integrifolia,Dryas integrifolia Vahl,Panarctic Flora Project Checklist
Dryas integrifolia Vahl,Dryas integrifolia Vahl,Panarctic Flora Project Checklist
Dryopteris expansa,Dryopteris expansa (C. Presl) Fraser-Jenkins & Jermy,Panarctic Flora Project Checklist
Dryopteris fragrans,Dryopteris fragrans (L.) Schott,Panarctic Flora Project Checklist
Dupontia fischeri,Dupontia fisheri R. Br.,Panarctic Flora Project Checklist
Dupontia fisheri,Dupontia fisheri R. Br.,Panarctic Flora Project Checklist
"Dupontia fisheri octoploid morph (""fisheri"")",Dupontia fisheri R. Br.,Panarctic Flora Project Checklist
Dupontia fisheri R. Br.,Dupontia fisheri R. Br.,Panarctic Flora Project Checklist
Dupontia fisheri psilosantha,Dupontia fisheri ssp. psilosantha (Rupr.) Hultén,Panarctic Flora Project Checklist
Elaeagnus commutata,Elaeagnus commutata Bernh. ex Rydb.,Panarctic Flora Project Checklist
Elymus alaskanus,Elymus alaskanus (Scribn. & Merr.) Á. Löve,Panarctic Flora Project Checklist
Elymus alaskanus s. alaskanus,Elymus alaskanus ssp. alaskanus (Scribn. & Merr.) Á. Löve,Panarctic Flora Project Checklist
Elymus alaskanus subsp. alaskanus,Elymus alaskanus ssp. alaskanus (Scribn. & Merr.) Á. Löve,Panarctic Flora Project Checklist
Elymus alaskanus ssp. alaskanus,Elymus alaskanus ssp. alaskanus (Scribn. & Merr.) Á. Löve,Panarctic Flora Project Checklist
Elymus alaskanus s. borealis,Elymus alaskanus ssp. borealis (Turcz.) Á. Löve & D. Löve,Panarctic Flora Project Checklist
Elymus alaskanus s. hyperarcticus,Elymus alaskanus ssp. hyperarcticus (Polunin) Á. Löve & D. Löve,Panarctic Flora Project Checklist
Elymus trachycaulus,Elymus trachycaulus (Link) Gould ex Shinners,Panarctic Flora Project Checklist
Elymus trachycaulus s.l.,Elymus trachycaulus (Link) Gould ex Shinners,Panarctic Flora Project Checklist
Elymus trachycaulus s. trachycaulus,Elymus trachycaulus ssp. trachycaulus (Link) Gould ex Shinners,Panarctic Flora Project Checklist
Elymus violaceus,Elymus violaceus (Hornem.) Böcher ex J. Feilberg,Panarctic Flora Project Checklist
Empetrum nigrum,Empetrum nigrum L.,Panarctic Flora Project Checklist
Empetrum nigrum L.,Empetrum nigrum L.,Panarctic Flora Project Checklist
Epilobium anagallidifolium,Epilobium anagallidifolium Lam.,Panarctic Flora Project Checklist
Epilobium ciliatum,Epilobium ciliatum Raf.,Panarctic Flora Project Checklist
Epilobium ciliatum s. glandulosum,Epilobium ciliatum ssp. glandulosum (Lehm.) Hoch & P.H. Raven,Panarctic Flora Project Checklist
Epilobium davuricum,Epilobium davuricum Fisch. ex Hornem.,Panarctic Flora Project Checklist
Epilobium hornemannii s. behringianum,Epilobium hornemannii ssp. behringianum (Hausskn.) Hoch & P.H. Raven,Panarctic Flora Project Checklist
Epilobium hornemannii s. hornemannii,Epilobium hornemannii ssp. hornemannii Rchb.,Panarctic Flora Project Checklist
Epilobium species,Epilobium L.,Panarctic Flora Project Checklist
Epilobium sp.,Epilobium L.,Panarctic Flora Project Checklist
Epilobium palustre,Epilobium palustre L.,Panarctic Flora Project Checklist
Equisetum fluviatile,Equisetum fluviatile L.,Panarctic Flora Project Checklist
Equisetum hyemale,Equisetum hyemale L.,Panarctic Flora Project Checklist
Equisetum species,Equisetum L.,Panarctic Flora Project Checklist
Equisetum palustre,Equisetum palustre L.,Panarctic Flora Project Checklist
Equisetum pratense,Equisetum pratense Ehrh.,Panarctic Flora Project Checklist
Equisetum scirpoides,Equisetum scirpoides Michx.,Panarctic Flora Project Checklist
Equisetum sylvaticum,Equisetum sylvaticum L.,Panarctic Flora Project Checklist
Equisetum variegatum,Equisetum variegatum Schleich. ex F. Weber & D. Mohr,Panarctic Flora Project Checklist
Equisetum variegatum s.l.,Equisetum variegatum Schleich. ex F. Weber & D. Mohr,Panarctic Flora Project Checklist
Equisetum variegatum s. variegatum,Equisetum variegatum var. variegatum Schleich. ex F. Weber & D. Mohr,Panarctic Flora Project Checklist
Equisetum variegatum subsp. variegatum,Equisetum variegatum var. variegatum Schleich. ex F. Weber & D. Mohr,Panarctic Flora Project Checklist
Eremogone capillaris [s. capillaris,Eremogone capillaris ssp. capillaris (Poir.) Fenzl,Panarctic Flora Project Checklist
Erigeron acris,Erigeron acris L.,Panarctic Flora Project Checklist
Erigeron caespitosus,Erigeron caespitosus Nutt.,Panarctic Flora Project Checklist
Erigeron elatus,Erigeron elatus (Hook.) Greene,Panarctic Flora Project Checklist
Erigeron eriocephalus,Erigeron eriocephalus J. Vahl,Panarctic Flora Project Checklist
Erigeron humilis,Erigeron humilis Graham,Panarctic Flora Project Checklist
Erigeron hyperboreus,Erigeron hyperboreus Greene,Panarctic Flora Project Checklist
Erigeron sp.,Erigeron L.,Panarctic Flora Project Checklist
Erigeron lonchophyllus,Erigeron lonchophyllus Hook.,Panarctic Flora Project Checklist
Erigeron muirii,Erigeron muirii A. Gray,Panarctic Flora Project Checklist
Erigeron peregrinus,Erigeron peregrinus (Banks ex Pursh) Greene,Panarctic Flora Project Checklist
Erigeron porsildii,Erigeron porsildii G.L. Nesom & D.F. Murray,Panarctic Flora Project Checklist
Erigeron purpuratus,Erigeron purpuratus Greene,Panarctic Flora Project Checklist
Eriophorum angustifolium,Eriophorum angustifolium Honck.,Panarctic Flora Project Checklist
Eriophorum angustifolium ssp. subarcticum,Eriophorum angustifolium Honck.,Panarctic Flora Project Checklist
Eriophorum angustifolium Honck.,Eriophorum angustifolium Honck.,Panarctic Flora Project Checklist
Eriophorum brachyantherum,Eriophorum brachyantherum Trautv. & C.A. Mey.,Panarctic Flora Project Checklist
Eriophorum callitrix,Eriophorum callitrix Cham. ex C.A. Mey.,Panarctic Flora Project Checklist
Eriophorum chamissonis,Eriophorum chamissonis C.A. Mey.,Panarctic Flora Project Checklist
Eriophorum species,Eriophorum L.,Panarctic Flora Project Checklist
Eriophorum russeolum,Eriophorum russeolum Fr. ex Hartm.,Panarctic Flora Project Checklist
Eriophorum russeolum Fr. ex Hartm.,Eriophorum russeolum Fr. ex Hartm.,Panarctic Flora Project Checklist
Eriophorum russeolum s. leiocarpum,Eriophorum russeolum ssp. leiocarpum M.S. Novos.,Panarctic Flora Project Checklist
Eriophorum triste,Eriophorum triste (Th. Fr.) Hadac & Á. Löve,Panarctic Flora Project Checklist
Eriophorum angustifolium ssp. triste,Eriophorum triste (Th. Fr.) Hadac & Á. Löve,Panarctic Flora Project Checklist
Eriophorum viridicarinatum,Eriophorum viridicarinatum (Engelm.) Fernald,Panarctic Flora Project Checklist
Eritrichium aretioides,Eritrichium aretioides (Cham.) A. DC.,Panarctic Flora Project Checklist
Eritrichium aretioides var. aretioides,Eritrichium aretioides var. aretioides (Cham.) A. DC.,Panarctic Flora Project Checklist
Eritrichium aretioides v. chamissonis,Eritrichium aretioides var. chamissonis (DC.) V.V. Petrovsky,Panarctic Flora Project Checklist
Eritrichium chamissonis,Eritrichium aretioides var. chamissonis (DC.) V.V. Petrovsky,Panarctic Flora Project Checklist
Eritrichium splendens,Eritrichium splendens Kearney,Panarctic Flora Project Checklist
Erysimum pallasii,Erysimum pallasii (Pursh) Fernald,Panarctic Flora Project Checklist
Euphrasia mollis,Euphrasia mollis (Ledeb.) Wettst.,Panarctic Flora Project Checklist
Eutrema edwardsii,Eutrema edwardsii R. Br.,Panarctic Flora Project Checklist
Festuca altaica,Festuca altaica Trin.,Panarctic Flora Project Checklist
Festuca baffinensis,Festuca baffinensis Polunin,Panarctic Flora Project Checklist
Festuca brachyphylla,Festuca brachyphylla Schult. ex Schult. & Schult. f.,Panarctic Flora Project Checklist
Festuca brachyphylla Schult. ex Schult. & Schult. f.,Festuca brachyphylla Schult. ex Schult. & Schult. f.,Panarctic Flora Project Checklist
Festuca species,Festuca L.,Panarctic Flora Project Checklist
Festuca sp.,Festuca L.,Panarctic Flora Project Checklist
Festuca lenensis,Festuca lenensis Drobow,Panarctic Flora Project Checklist
Festuca rubra,Festuca rubra L.,Panarctic Flora Project Checklist
Festuca rubra s. richardsonii,Festuca rubra L.,Panarctic Flora Project Checklist
Festuca rubra ssp. arctica,Festuca rubra L.,Panarctic Flora Project Checklist
