datasetSpeciesName,acceptedName,namingAuthority
Cladina stygia,Cladonia stygia (Fr.) Ruoss,Consortium of Lichen Herbaria
Cladonia subfurcata,Cladonia subfurcata (Nyl.) Arnold,Consortium of Lichen Herbaria
Cladonia subulata,Cladonia subulata (L.) F.H. Wigg.,Consortium of Lichen Herbaria
Cladonia sulphurina,Cladonia sulphurina (Michx.) Fr.,Consortium of Lichen Herbaria
Cladonia symphycarpia,Cladonia symphycarpa (Flörke) Fr.,Consortium of Lichen Herbaria
Cladonia thomsonii,Cladonia thomsonii Ahti,Consortium of Lichen Herbaria
Cladonia trassii,Cladonia trassii Ahti,Consortium of Lichen Herbaria
Cladonia uncialis,Cladonia uncialis (L.) F.H. Wigg.,Consortium of Lichen Herbaria
Cladonia verticillata s. lat.,Cladonia verticillata (Hoffm.) Schaer.,Consortium of Lichen Herbaria
Collema species,Collema F.H. Wigg,Consortium of Lichen Herbaria
Dactylina arctica,Dactylina arctica (Richardson) Nyl.,Consortium of Lichen Herbaria
Dactylina beringica,Dactylina beringica C.D. Bird & J.W. Thomson,Consortium of Lichen Herbaria
Dactylina species,Dactylina Nyl.,Consortium of Lichen Herbaria
Dactylina sp.,Dactylina Nyl.,Consortium of Lichen Herbaria
Dactylina,Dactylina Nyl.,Consortium of Lichen Herbaria
Dactylina ramulosa,Dactylina ramulosa (Hook.) Tuck.,Consortium of Lichen Herbaria
Dermatocarpon arnoldianum,Dermatocarpon arnoldianum Degel.,Consortium of Lichen Herbaria
Diploschistes scruposus,Diploschistes scruposus (Schreb.) Norman,Consortium of Lichen Herbaria
Diplophyllum species,Diplotomma Flot.,Consortium of Lichen Herbaria
Collema bachmanianum,"Enchylium bachmanianum (Fink) Otálora, P.M. Jørg. & Wedin",Consortium of Lichen Herbaria
Collema tenax,Enchylium tenax (Sw.) Gray,Consortium of Lichen Herbaria
Epilichen scabrosus,Epilichen scabrosus (Ach.) Clem. ex Hafellner,Consortium of Lichen Herbaria
Evernia divaricata,Evernia divaricata (L.) Ach.,Consortium of Lichen Herbaria
Evernia perfragilis,Evernia perfragilis Llano,Consortium of Lichen Herbaria
Flavocetraria cucullata,Flavocetraria cucullata (Bellardi) Kärnefelt & A. Thell,Consortium of Lichen Herbaria
Flavocetraria species,Flavocetraria Kärnefelt & A. Thell,Consortium of Lichen Herbaria
Flavocetraria,Flavocetraria Kärnefelt & A. Thell,Consortium of Lichen Herbaria
Flavocetraria nivalis,Flavocetraria nivalis (L.) Kärnefelt & A. Thell,Consortium of Lichen Herbaria
Cetraria nivalis,Flavocetraria nivalis (L.) Kärnefelt & A. Thell,Consortium of Lichen Herbaria
Fuscopannaria praetermissa,Fuscopannaria praetermissa (Nyl.) P.M. Jørg.,Consortium of Lichen Herbaria
Gyalecta foveolaris,Gyalecta foveolaris (Ach.) Schaer.,Consortium of Lichen Herbaria
Hypogymnia species,Hypogymnia (Nyl.) Nyl.,Consortium of Lichen Herbaria
Hypogymnia austerodes,Hypogymnia austerodes (Nyl.) Räsänen,Consortium of Lichen Herbaria
Hypogymnia physodes,Hypogymnia physodes (L.) Nyl.,Consortium of Lichen Herbaria
Hypogymnia subobscura,Hypogymnia subobscura (Vain.) Poelt,Consortium of Lichen Herbaria
Hypogymnia vittata,Hypogymnia vittata (Ach.) Parrique,Consortium of Lichen Herbaria
Icmadophila ericetorum,Icmadophila ericetorum (L.) Zahlbr.,Consortium of Lichen Herbaria
Japewia tornoënsis,Japewia tornoënsis (Nyl.) Tønsberg,Consortium of Lichen Herbaria
Umbilicaria caroliniana,"Lasallia caroliniana (Tuck.) Davydov, Peršoh & Rambold",Consortium of Lichen Herbaria
Lasallia pensylvanica,Lasallia pensylvanica (Hoffm.) Llano,Consortium of Lichen Herbaria
Collema undulatum s. lat.,"Lathagrium undulatum (Laurer ex Flot.) Otálora, P.M. Jørg. & Wedin",Consortium of Lichen Herbaria
Lecanora species,Lecanora Ach.,Consortium of Lichen Herbaria
Lecanora sp.,Lecanora Ach.,Consortium of Lichen Herbaria
Lecanora circumborealis,Lecanora circumborealis Brodo & Vitik.,Consortium of Lichen Herbaria
Lecanora epibryon,Lecanora epibryon (Ach.) Ach.,Consortium of Lichen Herbaria
Lecanora geophila,Lecanora geophila (Th. Fr.) Poelt,Consortium of Lichen Herbaria
Lecanora luteovernalis,Lecanora luteovernalis Brodo,Consortium of Lichen Herbaria
Lecidea sp.,Lecidea Ach.,Consortium of Lichen Herbaria
Lecidea species,Lecidea Ach.,Consortium of Lichen Herbaria
Lecidea ramulosa,Lecidea ramulosa Th. Fr.,Consortium of Lichen Herbaria
Lecidella species,Lecidella Körb.,Consortium of Lichen Herbaria
Lecidella wulfenii,Lecidella wulfenii (Hepp) Körb.,Consortium of Lichen Herbaria
Lecidoma demissum,Lecidoma demissum (Rutstr.) Gotth. Schneid. & Hertel,Consortium of Lichen Herbaria
Lepraria species,Lepraria Ach.,Consortium of Lichen Herbaria
Lepraria neglecta,Lepraria neglecta (Nyl.) Erichsen,Consortium of Lichen Herbaria
Lepraria vouauxii,Lepraria vouauxii (Hue) R.C. Harris,Consortium of Lichen Herbaria
Leptogium saturninum,Leptogium saturninum (Dicks.) Nyl.,Consortium of Lichen Herbaria
Lichenomphalia hudsoniana,"Lichenomphalia hudsoniana (H.S. Jenn.) Redhead, Lutzoni, Moncalvo & Vilgalys",Consortium of Lichen Herbaria
Lobaria hallii,Lobaria hallii (Tuck.) Zahlbr.,Consortium of Lichen Herbaria
Lobaria linita,Lobaria linita (Ach.) Rabenh.,Consortium of Lichen Herbaria
Lobaria pseudopulmonaria,Lobaria pseudopulmonaria Gyeln.,Consortium of Lichen Herbaria
Lobaria species,Lobaria Schreb.,Consortium of Lichen Herbaria
Lobaria,Lobaria Schreb.,Consortium of Lichen Herbaria
Lopadium coralloideum,Lopadium coralloideum (Nyl.) Lynge,Consortium of Lichen Herbaria
Lopadium pezizoideum,Lopadium pezizoideum (Ach.) Körb.,Consortium of Lichen Herbaria
Masonhalea,Masonhalea Kärnefelt,Consortium of Lichen Herbaria
Masonhalea richardsonii,Masonhalea richardsonii (Hook.) Kärnefelt,Consortium of Lichen Herbaria
Megalaria jemtlandica,Megalaria jemtlandica (Th. Fr. & Almq.) Fryday,Consortium of Lichen Herbaria
Megaspora verrucosa,Megaspora verrucosa (Ach.) Hafellner & V. Wirth,Consortium of Lichen Herbaria
Melanelia agnata,Melanelia agnata (Nyl.) A. Thell,Consortium of Lichen Herbaria
Melanelia hepatizon,Melanelia hepatizon (Ach.) A. Thell,Consortium of Lichen Herbaria
Melanelia stygia,Melanelia stygia (L.) Essl.,Consortium of Lichen Herbaria
Micarea assimilata,Micarea assimilata (Nyl.) Coppins,Consortium of Lichen Herbaria
Micarea species,Micarea Fr.,Consortium of Lichen Herbaria
Micarea incrassata,Micarea incrassata Hedl.,Consortium of Lichen Herbaria
Mycoblastus sanguinarius,Mycoblastus sanguinarius (L.) Norman,Consortium of Lichen Herbaria
Nephroma species,Nephroma Ach.,Consortium of Lichen Herbaria
Nephroma sp.,Nephroma Ach.,Consortium of Lichen Herbaria
Nephroma,Nephroma Ach.,Consortium of Lichen Herbaria
Nephroma arcticum,Nephroma arcticum (L.) Torss.,Consortium of Lichen Herbaria
Nephroma bellum,Nephroma bellum (Spreng.) Tuck.,Consortium of Lichen Herbaria
Nephroma expallidum,Nephroma expallidum (Nyl.) Nyl.,Consortium of Lichen Herbaria
Nephroma parile,Nephroma parile (Ach.) Ach.,Consortium of Lichen Herbaria
Nephroma resupinatum,Nephroma resupinatum (L.) Ach.,Consortium of Lichen Herbaria
Ochrolechia species,Ochrolechia A. Massal.,Consortium of Lichen Herbaria
Ochrolechia,Ochrolechia A. Massal.,Consortium of Lichen Herbaria
Ochrolechia androgyna,Ochrolechia androgyna (Hoffm.) Arnold,Consortium of Lichen Herbaria
Ochrolechia bryophaga,Ochrolechia bryophaga (Erichsen) K. Schmitz & Lumbsch,Consortium of Lichen Herbaria
Ochrolechia frigida,Ochrolechia frigida (Sw.) Lynge,Consortium of Lichen Herbaria
Ochrolechia inaequatula,Ochrolechia inaequatula (Nyl.) Zahlbr.,Consortium of Lichen Herbaria
Ochrolechia upsaliensis,Ochrolechia upsaliensis (L.) A. Massal.,Consortium of Lichen Herbaria
Ophioparma lapponica,Ophioparma lapponica (Räsänen) Hafellner & R.W. Rogers,Consortium of Lichen Herbaria
Parmelia species,Parmelia Ach.,Consortium of Lichen Herbaria
Parmelia,Parmelia Ach.,Consortium of Lichen Herbaria
Parmelia fraudans,Parmelia fraudans (Nyl.) Nyl.,Consortium of Lichen Herbaria
Parmelia omphalodes s. lat.,Parmelia omphalodes (L.) Ach.,Consortium of Lichen Herbaria
Parmelia sulcata,Parmelia sulcata Taylor,Consortium of Lichen Herbaria
Parmeliopsis ambigua,Parmeliopsis ambigua (Wulfen) Nyl.,Consortium of Lichen Herbaria
Parmeliopsis hyperopta,Parmeliopsis hyperopta (Ach.) Arnold,Consortium of Lichen Herbaria
Peltigera aphthosa,Peltigera aphthosa (L.) Willd.,Consortium of Lichen Herbaria
Peltigera britannica,Peltigera britannica (Gyeln.) Holt.-Hartw. & Tonsb.,Consortium of Lichen Herbaria
Peltigera canina,Peltigera canina (L.) Willd.,Consortium of Lichen Herbaria
Peltigera collina,Peltigera collina (Ach.) Schrad.,Consortium of Lichen Herbaria
Peltigera didactyla s.lat.,Peltigera didactyla (With.) J.R. Laundon,Consortium of Lichen Herbaria
Peltigera elisabethae,Peltigera elisabethae Gyeln.,Consortium of Lichen Herbaria
Peltigera extenuata,Peltigera extenuata (Nyl. ex Vain.) Lojka,Consortium of Lichen Herbaria
Peltigera horizontalis,Peltigera horizontalis (Huds.) Baumg.,Consortium of Lichen Herbaria
Peltigera lepidophora,Peltigera lepidophora (Vain.) Bitter,Consortium of Lichen Herbaria
Peltigera leucophlebia,Peltigera leucophlebia (Nyl.) Gyeln.,Consortium of Lichen Herbaria
Peltigera malacea,Peltigera malacea (Ach.) Funck,Consortium of Lichen Herbaria
Peltigera membranacea,Peltigera membranacea (Ach.) Nyl.,Consortium of Lichen Herbaria
Peltigera neckeri,Peltigera neckeri Hepp ex Müll. Arg.,Consortium of Lichen Herbaria
Peltigera neopolydactyla,Peltigera neopolydactyla (Gyeln.) Gyeln.,Consortium of Lichen Herbaria
Peltigera polydactyla,Peltigera neopolydactyla (Gyeln.) Gyeln.,Consortium of Lichen Herbaria
Peltigera polydactylon,Peltigera polydactylon (Neck.) Hoffm.,Consortium of Lichen Herbaria
Peltigera praetextata,Peltigera praetextata (Flörke ex Sommerf.) Zopf,Consortium of Lichen Herbaria
Peltigera rufescens,Peltigera rufescens (Weiss) Humb.,Consortium of Lichen Herbaria
Peltigera scabrosa,Peltigera scabrosa Th. Fr.,Consortium of Lichen Herbaria
Peltigera venosa,Peltigera venosa (L.) Hoffm.,Consortium of Lichen Herbaria
Peltigera species,Peltigera Willd.,Consortium of Lichen Herbaria
Peltigera sp.,Peltigera Willd.,Consortium of Lichen Herbaria
Peltigera,Peltigera Willd.,Consortium of Lichen Herbaria
Pertusaria bryontha,Pertusaria bryontha (Ach.) Nyl.,Consortium of Lichen Herbaria
Pertusaria coriacea,Pertusaria coriacea (Th. Fr.) Th. Fr.,Consortium of Lichen Herbaria
Pertusaria coriacea obducens,Pertusaria coriacea (Th. Fr.) Th. Fr.,Consortium of Lichen Herbaria
Pertusaria sp.,Pertusaria DC.,Consortium of Lichen Herbaria
Pertusaria species,Pertusaria DC.,Consortium of Lichen Herbaria
Pertusaria geminipara,Pertusaria geminipara (Th. Fr.) C. Knight ex Brodo,Consortium of Lichen Herbaria
Pertusaria glomerata,Pertusaria glomerata (Ach.) Schaer.,Consortium of Lichen Herbaria
Pertusaria octomela,Pertusaria octomela (Norman) Erichsen,Consortium of Lichen Herbaria
Pertusaria oculata,Pertusaria oculata (Dicks.) Th. Fr.,Consortium of Lichen Herbaria
Pertusaria subobducens,Pertusaria subobducens Nyl.,Consortium of Lichen Herbaria
